Arch	CSize	BSize	Assoc	Imiss	Dmiss	Umiss
SPLIT	8K	16	2	0.0799	0.0852	-
SPLIT	8K	64	2	0.0373	0.0773	-
SPLIT	8K	256	2	0.0241	0.0875	-
SPLIT	8K	16	4	0.0738	0.0770	-
SPLIT	8K	64	4	0.0367	0.0699	-
SPLIT	8K	256	4	0.0230	0.0809	-
SPLIT	8K	16	8	0.0709	0.0736	-
SPLIT	8K	64	8	0.0351	0.0685	-
SPLIT	8K	256	8	0.0220	0.0772	-
SPLIT	16K	16	2	0.0556	0.0642	-
SPLIT	16K	64	2	0.0263	0.0578	-
SPLIT	16K	256	2	0.0157	0.0624	-
SPLIT	16K	16	4	0.0519	0.0568	-
SPLIT	16K	64	4	0.0248	0.0506	-
SPLIT	16K	256	4	0.0139	0.0539	-
SPLIT	16K	16	8	0.0446	0.0540	-
SPLIT	16K	64	8	0.0221	0.0480	-
SPLIT	16K	256	8	0.0143	0.0508	-
SPLIT	32K	16	2	0.0348	0.0463	-
SPLIT	32K	64	2	0.0170	0.0392	-
SPLIT	32K	256	2	0.0103	0.0423	-
SPLIT	32K	16	4	0.0317	0.0435	-
SPLIT	32K	64	4	0.0152	0.0346	-
SPLIT	32K	256	4	0.0095	0.0375	-
SPLIT	32K	16	8	0.0304	0.0423	-
SPLIT	32K	64	8	0.0144	0.0325	-
SPLIT	32K	256	8	0.0087	0.0356	-
UNIF	8K	16	2	-	-	0.1049
UNIF	8K	64	2	-	-	0.0684
UNIF	8K	256	2	-	-	0.0670
UNIF	8K	16	4	-	-	0.1001
UNIF	8K	64	4	-	-	0.0644
UNIF	8K	256	4	-	-	0.0633
UNIF	8K	16	8	-	-	0.0976
UNIF	8K	64	8	-	-	0.0612
UNIF	8K	256	8	-	-	0.0612
UNIF	16K	16	2	-	-	0.0776
UNIF	16K	64	2	-	-	0.0514
UNIF	16K	256	2	-	-	0.0467
UNIF	16K	16	4	-	-	0.0707
UNIF	16K	64	4	-	-	0.0457
UNIF	16K	256	4	-	-	0.0404
UNIF	16K	16	8	-	-	0.0669
UNIF	16K	64	8	-	-	0.0444
UNIF	16K	256	8	-	-	0.0381
UNIF	32K	16	2	-	-	0.0544
UNIF	32K	64	2	-	-	0.0359
UNIF	32K	256	2	-	-	0.0318
UNIF	32K	16	4	-	-	0.0490
UNIF	32K	64	4	-	-	0.0317
UNIF	32K	256	4	-	-	0.0274
UNIF	32K	16	8	-	-	0.0465
UNIF	32K	64	8	-	-	0.0292
UNIF	32K	256	8	-	-	0.0251
