policy	pdist	pabort	Imiss	Dmiss
a	0	0	0.0159	0.0728
a	0	10	0.0160	0.0726
a	0	20	0.0163	0.0725
a	0	30	0.0166	0.0723
a	0	40	0.0170	0.0720
a	0	50	0.0175	0.0717
a	0	60	0.0183	0.0715
a	0	70	0.0195	0.0714
a	1	0	0.0159	0.0728
a	1	10	0.0160	0.0726
a	1	20	0.0163	0.0725
a	1	30	0.0166	0.0723
a	1	40	0.0170	0.0720
a	1	50	0.0175	0.0717
a	1	60	0.0183	0.0715
a	1	70	0.0195	0.0714
a	2	0	0.0259	0.0792
a	2	10	0.0261	0.0789
a	2	20	0.0262	0.0785
a	2	30	0.0264	0.0782
a	2	40	0.0266	0.0778
a	2	50	0.0269	0.0772
a	2	60	0.0273	0.0765
a	2	70	0.0280	0.0757
a	3	0	0.0302	0.0827
a	3	10	0.0303	0.0821
a	3	20	0.0304	0.0815
a	3	30	0.0305	0.0808
a	3	40	0.0306	0.0801
a	3	50	0.0308	0.0793
a	3	60	0.0311	0.0783
a	3	70	0.0316	0.0770
a	4	0	0.0329	0.0873
a	4	10	0.0330	0.0865
a	4	20	0.0331	0.0858
a	4	30	0.0332	0.0850
a	4	40	0.0333	0.0841
a	4	50	0.0334	0.0830
a	4	60	0.0336	0.0818
a	4	70	0.0339	0.0802
a	5	0	0.0357	0.0887
a	5	10	0.0358	0.0878
a	5	20	0.0358	0.0871
a	5	30	0.0359	0.0862
a	5	40	0.0359	0.0852
a	5	50	0.0360	0.0841
a	5	60	0.0361	0.0827
a	5	70	0.0363	0.0812
a	6	0	0.0372	0.0873
a	6	10	0.0372	0.0866
a	6	20	0.0372	0.0858
a	6	30	0.0372	0.0850
a	6	40	0.0371	0.0841
a	6	50	0.0371	0.0830
a	6	60	0.0372	0.0818
a	6	70	0.0372	0.0803
a	7	0	0.0380	0.0879
a	7	10	0.0380	0.0872
a	7	20	0.0380	0.0864
a	7	30	0.0380	0.0857
a	7	40	0.0380	0.0847
a	7	50	0.0379	0.0838
a	7	60	0.0379	0.0825
a	7	70	0.0380	0.0810
a	8	0	0.0394	0.0887
a	8	10	0.0394	0.0879
a	8	20	0.0393	0.0873
a	8	30	0.0393	0.0864
a	8	40	0.0392	0.0853
a	8	50	0.0391	0.0842
a	8	60	0.0390	0.0829
a	8	70	0.0389	0.0814
a	9	0	0.0399	0.0894
a	9	10	0.0399	0.0887
a	9	20	0.0399	0.0879
a	9	30	0.0398	0.0869
a	9	40	0.0398	0.0860
a	9	50	0.0396	0.0848
a	9	60	0.0396	0.0834
a	9	70	0.0394	0.0818
a	10	0	0.0406	0.0878
a	10	10	0.0406	0.0872
a	10	20	0.0405	0.0865
a	10	30	0.0405	0.0857
a	10	40	0.0404	0.0849
a	10	50	0.0403	0.0840
a	10	60	0.0402	0.0828
a	10	70	0.0400	0.0815
a	11	0	0.0422	0.0881
a	11	10	0.0421	0.0875
a	11	20	0.0420	0.0869
a	11	30	0.0419	0.0862
a	11	40	0.0419	0.0853
a	11	50	0.0417	0.0842
a	11	60	0.0415	0.0829
a	11	70	0.0412	0.0812
a	12	0	0.0424	0.0881
a	12	10	0.0423	0.0876
a	12	20	0.0423	0.0870
a	12	30	0.0422	0.0863
a	12	40	0.0420	0.0855
a	12	50	0.0418	0.0845
a	12	60	0.0417	0.0832
a	12	70	0.0414	0.0818
a	13	0	0.0430	0.0862
a	13	10	0.0429	0.0857
a	13	20	0.0429	0.0852
a	13	30	0.0428	0.0846
a	13	40	0.0427	0.0839
a	13	50	0.0425	0.0831
a	13	60	0.0423	0.0822
a	13	70	0.0420	0.0808
a	14	0	0.0434	0.0888
a	14	10	0.0434	0.0881
a	14	20	0.0433	0.0874
a	14	30	0.0432	0.0866
a	14	40	0.0431	0.0858
